"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.100,0.14,-2.75,4.86,,,,,1.100,1.80,-0.18,8.23,1.100,0.00,-2.14,26.18,1.100,0.17,-2.14,417.62,1.100,2.09,,,1.100,2.61,-8.74,-384.94,1.100,0.12,41.32,349.88,1.100,0.13,0.01,121.15,1.100,0.76,-0.89,-1.75
1.120,0.13,-2.81,17.28,,,,,1.120,1.82,0.31,,1.120,0.00,-1.08,334.46,1.120,0.12,15.79,588.78,,,,,1.120,4.06,-18.30,-190.44,1.120,2.60,41.40,-321.60,1.120,0.13,-0.17,358.13,1.120,0.74,-0.93,-1.16
1.140,0.00,-2.22,240.49,,,,,1.140,1.82,0.54,,1.140,0.00,0.85,608.42,1.140,0.10,29.76,380.58,,,,,1.140,0.10,-15.73,241.48,1.140,2.61,20.72,-697.81,1.140,0.13,14.19,480.85,1.140,0.72,-0.94,-0.19
1.160,0.00,-1.07,574.77,,,,,1.160,1.84,,,1.160,0.00,34.92,572.68,1.160,2.19,36.47,-245.38,,,,,1.160,2.91,-3.72,254.84,1.160,2.61,2.56,-650.67,1.160,0.10,28.70,243.83,1.160,0.70,-0.92,0.36
1.180,0.00,24.37,611.55,,,,,,,,,1.180,0.10,34.87,-19.82,1.180,1.68,22.85,-796.49,,,,,1.180,1.86,5.66,83.85,1.180,2.60,-3.58,-423.24,1.180,1.85,28.84,-238.20,1.180,0.68,-0.92,0.27
1.200,0.00,39.58,112.05,,,,,,,,,1.200,4.09,33.62,-737.83,1.200,2.92,-6.75,-909.00,,,,,1.200,1.85,-9.10,-19.71,1.200,2.91,-12.38,-193.50,1.200,1.85,14.44,-481.66,1.200,0.66,-0.91,-0.13
1.220,2.92,30.52,-556.97,,,,,,,,,1.220,0.10,-0.23,-756.85,1.220,2.11,-22.60,-387.59,,,,,1.220,1.84,-0.28,26.90,1.220,1.87,-15.13,54.17,1.220,1.85,-0.14,-362.73,1.220,0.64,-0.92,-0.38
1.240,1.83,6.22,-661.24,,,,,,,,,1.240,4.04,-18.52,47.57,1.240,0.95,-27.16,360.86,,,,,1.240,1.84,-0.14,76.32,1.240,1.86,-9.11,225.12,1.240,1.84,-0.13,-120.84,1.240,0.63,-0.94,-0.45
1.260,1.84,-9.11,-308.43,,,,,,,,,1.260,0.12,-3.82,,1.260,0.94,-3.25,824.84,,,,,1.260,1.84,-0.07,-0.67,1.260,1.85,-0.34,,1.260,1.84,-0.12,1.18,1.260,0.61,-0.94,-0.37
1.280,1.83,-0.14,23.84,,,,,,,,,1.280,1.84,42.91,,1.280,0.83,17.20,,,,,,1.280,1.84,-0.15,,1.280,1.84,-0.15,,1.280,1.84,-0.08,1.56,1.280,0.59,-0.95,-0.30
1.300,1.82,-0.13,79.16,,,,,,,,,1.300,1.84,,,1.300,1.84,32.01,,,,,,1.300,1.84,-0.35,,1.300,1.84,,,1.300,1.84,-0.05,1.51,1.300,0.57,-0.95,-0.35
1.320,1.82,0.10,3.94,,,,,,,,,,,,,1.320,2.11,,,,,,,1.320,1.83,,,,,,,1.320,1.84,-0.02,,1.320,0.55,-0.96,-0.44
